Model,Organization,Country (of organization),bloque_geopolitico,era_tecnologica,Domain,pca_1,pca_2,tsne_1,tsne_2
MEGNet (molecule model),University of California San Diego,United States of America,Anglosphere,Era Transformer (2017-2022),Materials science,-2.6871623445390456,-1.106264452948161,-17.678608,-3.5382388
MEGNet (crystal formation energy model),University of California San Diego,United States of America,Anglosphere,Era Transformer (2017-2022),Materials science,-2.5699552595816777,-1.0853147979921922,-17.649757,-3.5500402
MEGNet (crystal band gap model),University of California San Diego,United States of America,Anglosphere,Era Transformer (2017-2022),Materials science,-2.5699552595816777,-1.0853147979921922,-17.649752,-3.5500462
MEGNet (crystal elasticity model),University of California San Diego,United States of America,Anglosphere,Era Transformer (2017-2022),Materials science,-2.5699552595816777,-1.0853147979921922,-17.649757,-3.5500402
WeNet (Penn Treebank),Amazon,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.5756162905939105,-0.1131110660614845,-2.5973127,16.807678
FAIRSEQ Adaptive Inputs,"Facebook AI Research,Google Brain",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.34745742159138043,1.147842556128423,-5.175947,14.391913
UniRep,Harvard University,United States of America,Anglosphere,Era Transformer (2017-2022),Biology,-1.0527387168514075,-1.6359403099633274,8.797898,-34.04822
SciBERT,Allen Institute for AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.3684285403635416,0.20818672455496576,-0.8479774,8.993365
KataGo,Jane Street,United States of America,Anglosphere,Era Transformer (2017-2022),Games,-0.5358024393586326,0.7926416958460523,-1.5136429,12.506144
GPT-2 (1.5B),OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.40167283902234435,1.727288562872636,1.0390109,9.138729
GPT-2 (124M),OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.08037427972403235,1.6704151813111985,0.41919035,9.248043
GPT-2 (774M),OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.3900243234511322,1.7246103770981192,1.0775447,9.315674
GPT-2 (355M),OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.258227638655219,1.7015432169880191,0.85304695,9.427185
Compress-LSTM (66M),"Samsung R&D Institute Russia,National Research University Higher School of Economics",Russia,Rusia,Era Transformer (2017-2022),Language,-0.7369209339494025,0.24139908243043323,-3.0745094,16.30097
Hanabi 4 player,"DeepMind,University of Oxford,Carnegie Mellon University (CMU),Google Brain",United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Games,-1.1866085776314412,0.7836829956424989,-6.118159,17.306677
Transformer-XL (257M),"Carnegie Mellon University (CMU),Google Brain",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.6222251587355976,-0.7745348391850082,-9.6212015,-7.7318964
Decoupled weight decay regularization,University of Freiburg,Germany,Europa,Era Transformer (2017-2022),Vision,-1.9228847644768488,0.07174493624260561,-25.34001,11.36919
StyleGAN,NVIDIA,United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,-0.7056133654481612,2.2283865539465246,15.468545,12.616469
Multi-cell LSTM,University of Hyderabad,India,Asia-Pacífico,Era Transformer (2017-2022),Language,-1.938686009856076,-2.254482584100644,-17.824305,-7.54794
Fine-tuned-AWD-LSTM-DOC (fin),Samsung R&D Institute Russia,Russia,Rusia,Era Transformer (2017-2022),Language,-0.69175370498449,-0.23946015607695167,-2.4514983,17.002323
Mesh-TensorFlow Transformer 4.9B (language),Google Brain,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.10380993470554259,0.8555834313244844,-4.602825,14.188668
Mesh-TensorFlow Transformer 2.9B (translation),Google Brain,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.00578554820728486,0.8365353124725342,-4.5114536,14.367877
TrellisNet,"Carnegie Mellon University (CMU),Bosch Center for Artificial Intelligence,Intel Labs",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.272441614947416,-1.5388463859701431,-15.356328,-6.015715
BERT-Large,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.012466794487517066,1.957033538886404,0.70993245,8.723181
BigGAN-deep 512x512,"Heriot-Watt University,DeepMind",United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Image generation,-0.6554925937255071,0.09733516220793118,16.520681,12.280816
Transformer (Adaptive Input Embeddings) WT103,Facebook AI Research,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.09137409304463437,0.9001714630596868,-0.34509718,10.664908
LSTM+NeuralCache,"KU Leuven,ESAT - PSI,Apple",Belgium,Europa,Era Transformer (2017-2022),Language,-2.091659941896288,-2.3897498214908452,-18.03564,-7.8595586
Transformer + Simple Recurrent Unit,"ASAPP,Cornell University,Google,Princeton University",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.4757723423607629,0.6843442742590031,-4.0981092,15.288211
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),"NTT Communication Science Laboratories,Tohoku University",Japan,Asia-Pacífico,Era Transformer (2017-2022),Language,-0.10203685162375145,0.40157466447874796,-0.9711126,11.935347
AWD-LSTM-DOC (fin) (23M),"NTT Communication Science Laboratories,Tohoku University",Japan,Asia-Pacífico,Era Transformer (2017-2022),Language,-0.49503532805838407,0.3330499722215647,-1.0350343,12.065129
Dexterous In-Hand Manipulation [control policy],OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Robotics,-0.9344560792486974,1.275854588264105,-6.8343983,16.75913
Big-Little Net,IBM,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-0.9935222037565006,1.6019558874054312,-23.373135,16.468134
Big-Little Net (vision),IBM,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-0.6481933095501641,1.6601924432815944,-23.507545,16.522114
Big-Little Net (speech),IBM,United States of America,Anglosphere,Era Transformer (2017-2022),Speech,-1.595162811265384,1.21584913368108,-7.1730475,3.3777556
FTW (For The Win),DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Games,-0.6148393778785192,1.1455415505263475,-6.6291275,16.358152
QT-Opt,"Google Brain,University of California (UC) Berkeley",United States of America,Anglosphere,Era Transformer (2017-2022),Robotics,-1.1995838590947165,1.1849225779655348,-6.5471106,17.036215
DARTS,"DeepMind,Carnegie Mellon University (CMU)",United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Language,-0.9168535291792889,1.1444079840997026,-5.050271,15.171761
GPT-1,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.19034252416838018,1.5253092390560519,0.090604246,9.553549
aLSTM(depth-2)+RecurrentPolicy (WT2),"University of Manchester,Alan Turing Institute",United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Language,-1.5811134973225458,-2.0729487094942973,-16.954214,-7.2807946
Dropout-LSTM+Noise(Bernoulli) (WT2),"Columbia University,New York University (NYU),Princeton University",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.5269652495514567,-1.9220773031231626,-16.491814,-6.8302927
LSTM+Noise(Beta),"Columbia University,New York University (NYU),Princeton University",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.5269652495514567,-1.9220773031231626,-16.491814,-6.8302927
ResNeXt-101 32x48d,Facebook,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-0.1972818749411356,2.2523214393990756,-24.167099,16.581078
RNNLM + Dynamic KL Regularization (WT2),Northwestern University,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.5402099329391332,-2.115663697455012,-16.816664,-7.572293
RNMT+,Google AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.31271303553953017,0.817276200562398,-4.391887,14.833182
YOLOv3,University of Washington,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-2.201452172350817,0.4405707109190058,-24.01195,10.568139
"LSTM (Hebbian, Cache, MbPA)","DeepMind,University College London (UCL)",United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Language,-0.14240373343504806,0.39159651959447767,-3.462966,15.446444
4 layer QRNN (h=2500),Salesforce Research,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.5830464869000677,0.5755945857356973,-3.8404162,15.615375
ENAS,"Google Brain,Carnegie Mellon University (CMU),Stanford University",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.1041479555801352,1.019329324928827,-4.837471,15.520844
AmoebaNet-A (F=448),Google Brain,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-0.8728044833685554,2.2447083893132787,-22.074295,15.659982
IMPALA,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Games,-1.0167713107759813,1.2295862637893697,-6.7038274,16.873896
ELMo,"University of Washington,Allen Institute for AI",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.9403350848914092,-0.8137826435890321,-15.053027,-4.5672026
QRNN,Salesforce Research,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.4443188896918265,-0.06262705643563785,-2.6731467,16.682985
ULM-FiT,"University of San Francisco,Insight Centre NUI Galway,Fast.ai",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.038506564825363,-0.9617990345606505,-10.05392,-7.6924725
RNNLM + Dynamic KL Regularization,Northwestern University,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.9742297961109858,-2.19089269682619,-17.856247,-7.1694007
2-layer-LSTM+Deep-Gradient-Compression,"Tsinghua University,Stanford University,NVIDIA",China,China,Era Transformer (2017-2022),Language,-2.2593134522887515,-1.2413060101484805,-16.22151,-4.9331007
PNASNet-5,"Johns Hopkins University,Google AI,Stanford University",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-2.0113740095278008,0.02870347110030139,-24.261168,10.623497
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",Carnegie Mellon University (CMU),United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.5284111165563004,-1.375874097477324,-15.521073,-5.470694
Fraternal dropout + AWD-LSTM 3-layer (WT2),"Jagiellonian University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal",Poland,Otro,Era Transformer (2017-2022),Language,-1.5997144970977617,-1.7673787582674354,-16.310766,-6.360979
AlphaGo Zero,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Games,-0.699452590433231,1.652510688623756,-7.4257674,16.163195
AWD-LSTM+WT+Cache+IOG (WT2),NTT Communication Science Laboratories,Japan,Asia-Pacífico,Era Transformer (2017-2022),Language,-0.9450738558950137,-0.06605892515490899,-2.5245976,16.939775
ISS,"Duke University,Microsoft",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-2.0393265820353954,-1.656230291222504,-16.96912,-5.873682
PyramidNet,Korea Advanced Institute of Science and Technology (KAIST),Korea (Republic of),Asia-Pacífico,Era Transformer (2017-2022),Vision,-2.347642034384672,-0.1821611317872189,-25.356155,11.330838
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),Ben-Gurion University of the Negev,Israel,Medio Oriente,Era Transformer (2017-2022),Language,-1.4633194523853834,-2.2111091385949546,-16.955019,-7.7987247
EI-REHN-1000D,Korea Advanced Institute of Science and Technology (KAIST),Korea (Republic of),Asia-Pacífico,Era Transformer (2017-2022),Language,-1.7854963114655746,-2.201169036646724,-17.443014,-7.6754284
RetinaNet-R101,Facebook AI Research,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-1.5528931361105733,2.470144499818157,-21.937237,15.444062
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),Salesforce Research,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.9190689410626335,0.9023328945481963,-4.602509,15.521172
Densely Connected LSTM + Var. Dropout,Ghent University,Belgium,Europa,Era Transformer (2017-2022),Language,-1.758853587681372,-2.170666219893676,-17.561165,-7.2304034
JFT,"Google Research,Carnegie Mellon University (CMU)",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-1.1208299323824946,2.1869170114039855,-22.095526,15.679931
Transformer,"Google Research,Google Brain",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.7219004462412517,1.885926175804679,-6.1914177,13.190253
AlexNet + coordinating filters,"University of Pittsburgh,Duke University",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-1.8684178216266458,-0.37997971768914107,-25.402332,11.375905
MoE-Multi,"Jagiellonian University,Google Brain",Poland,Otro,Era Transformer (2017-2022),Language,-0.8226834133754,-0.8254041400744264,-14.153894,-5.112184
DeepStack,"University of Alberta,Charles University,Czech Technical University",Canada,Anglosphere,Era Transformer (2017-2022),Games,-1.9629877128518491,-0.9832586891843065,-17.43184,-3.6392624
"GCRN-M1, dropout",Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Switzerland,Europa,Era GPU (2012-2016),Language,-3.2097637856523678,-0.7392910486668587,-16.097448,1.9973907
PolyNet,Chinese University of Hong Kong (CUHK),Hong Kong,China,Era GPU (2012-2016),Vision,-3.1550865010940763,0.21340176197454808,-22.383553,9.587904
ResNeXt-101 (64×4d),"University of California San Diego,Facebook",United States of America,Anglosphere,Era GPU (2012-2016),Vision,-3.035276500005046,0.9940033443202793,-22.12461,10.414571
NASv3 (CIFAR-10),Google Brain,United States of America,Anglosphere,Era GPU (2012-2016),Vision,-2.3433748597731956,2.8955028698990346,-20.02125,13.093947
NAS with base 8 and shared embeddings,Google Brain,United States of America,Anglosphere,Era GPU (2012-2016),Language,-2.370752105937543,1.726595886598936,-11.0444,11.203038
BIDAF,"University of Washington,Allen Institute for AI",United States of America,Anglosphere,Era GPU (2012-2016),Language,-2.719742215511168,-0.43188850357293207,-15.037139,1.4628739
VD-LSTM+REAL Large,"Salesforce Research,Stanford University",United States of America,Anglosphere,Era GPU (2012-2016),Language,-2.2231081644200406,1.2376148251485892,-10.429484,11.009586
Xception,Google,United States of America,Anglosphere,Era GPU (2012-2016),Vision,-2.5408853920932617,3.068278645214892,-20.006128,12.887639
GNMT,Google,United States of America,Anglosphere,Era GPU (2012-2016),Language,-1.3731025593610797,1.9388561223779293,-10.71364,11.997287
Pointer Sentinel-LSTM (medium),"MetaMind Inc,Salesforce",United States of America,Anglosphere,Era GPU (2012-2016),Language,-2.4720951278421324,1.6121171869949,-11.025038,10.969683
Zoneout + Variational LSTM (WT2),"MetaMind Inc,Salesforce",United States of America,Anglosphere,Era GPU (2012-2016),Language,-2.4243305336255156,1.6201722484353602,-10.996029,11.024574
Zoneout + Variational LSTM (PTB),MetaMind Inc,United States of America,Anglosphere,Era GPU (2012-2016),Language,-2.4806366701732774,1.6106241004573132,-11.031643,10.95919
Pointer Sentinel-LSTM (WT2),MetaMind Inc,United States of America,Anglosphere,Era GPU (2012-2016),Language,-2.568221475111575,1.5959063587443585,-11.0766,10.868976
Attend-Infer-Repeat,Google DeepMind,United States of America,Anglosphere,Era GPU (2012-2016),Vision,-2.8142525112534647,2.37151325838507,-19.759481,13.322013
VD-RHN,"ETH Zurich,IDSIA",Switzerland,Europa,Era GPU (2012-2016),Language,-3.204375590522218,-0.8530839182995289,-16.24985,1.899236
"Variational (untied weights, MC) LSTM (Large)",University of Cambridge,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era GPU (2012-2016),Language,-3.2042491755270426,-0.5718457040593635,-15.859862,2.1711175
ResNet-152 (ImageNet),Microsoft,United States of America,Anglosphere,Era GPU (2012-2016),Vision,-2.829988200556455,3.5428911554982223,-20.070583,12.495824
ResNet-101 (ImageNet),Microsoft,United States of America,Anglosphere,Era GPU (2012-2016),Vision,-2.500104569343229,3.6476478223619497,-20.705114,12.616749
DeepSpeech2 (English),Baidu Research - Silicon Valley AI Lab,United States of America,Anglosphere,Era GPU (2012-2016),Speech,-2.9470515274091085,2.421434641278038,-8.24163,3.5161986
Inception v3,"Google,University College London (UCL)",United States of America,Anglosphere,Era GPU (2012-2016),Vision,-2.7072508622130367,3.179577652412301,-19.972403,12.731537
AlphaGo Fan,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era GPU (2012-2016),Games,-2.2276650254914667,2.2986474949709965,-11.9908285,11.467814
LSTM-Char-Large,"Harvard University,New York University (NYU)",United States of America,Anglosphere,Era GPU (2012-2016),Language,-3.3911107024457894,-0.5852262759361497,-16.067587,2.3009357
Search-Proven Best LSTM,Google,United States of America,Anglosphere,Era GPU (2012-2016),Language,-2.5632719008606335,1.5367684457556365,-11.008472,10.810402
genCNN + dyn eval,"Chinese Academy of Sciences,Huawei Noah's Ark Lab,Dublin City University",China,China,Era GPU (2012-2016),Language,-3.1555109584240997,-1.3370512609938892,-16.64557,1.469908
"MSRA (C, PReLU)",Microsoft Research,United States of America,Anglosphere,Era GPU (2012-2016),Vision,-2.640752358236548,3.1165700447099156,-19.939606,12.786326
ADAM (CIFAR-10),"University of Amsterdam,OpenAI,University of Toronto",Netherlands,Europa,Era GPU (2012-2016),Vision,-4.634236312733356,1.2384711251129907,-20.997345,9.750869
Fractional Max-Pooling,University of Warwick,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era GPU (2012-2016),Vision,-3.832381899745632,0.3181288412976404,-21.874056,9.291563
SNM-skip,Google,United States of America,Anglosphere,Era GPU (2012-2016),Language,-0.8429618069345327,0.8973722274493877,-9.2426815,11.699291
GoogLeNet / InceptionV1,"Google,University of Michigan,University of North Carolina",United States of America,Anglosphere,Era GPU (2012-2016),Vision,-3.1736556539182423,3.210811936898401,-19.841833,12.526472
SPN-4+KN5,"Singapore University of Technology & Design,DSO National Laboratories",Singapore,Asia-Pacífico,Era GPU (2012-2016),Language,-3.289772950341511,-1.119586071275388,-16.551006,1.7010453
Seq2Seq LSTM,Google,United States of America,Anglosphere,Era GPU (2012-2016),Language,-1.6180249390613586,2.1675295025969064,-10.901224,11.98977
Large regularized LSTM,"New York University (NYU),Google Brain",United States of America,Anglosphere,Era GPU (2012-2016),Language,-3.1577395642451065,-0.4290243160350462,-15.642659,2.2858076
VGG16,University of Oxford,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era GPU (2012-2016),Vision,-3.567921148370022,1.3454350874217973,-21.389584,10.323482
VGG19,University of Oxford,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era GPU (2012-2016),Vision,-3.570286073443324,1.345082176737774,-21.388508,10.322412
Image generation,University of Amsterdam,Netherlands,Europa,Era GPU (2012-2016),Vision,-4.741057338476459,0.8592323941420865,-21.006823,9.277945
DQN,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era GPU (2012-2016),Games,-3.301608945300843,2.1059765953893006,-12.117962,10.93861
TransE,"Universite de Technologie de Compiègne – CNRS,Google",France,Europa,Era GPU (2012-2016),Language,-2.75286828281013,-0.14765718324048713,-15.199262,2.4133804
Word2Vec (large),Google,United States of America,Anglosphere,Era GPU (2012-2016),Language,-2.253718275022636,2.177820013238421,-11.122969,11.677937
Mitosis,IDSIA,Switzerland,Europa,Era GPU (2012-2016),Vision,-4.6049281656289764,0.3688851157474349,-21.342752,8.886577
RNN+weight noise+dynamic eval,University of Toronto,Canada,Anglosphere,Era GPU (2012-2016),Language,-3.393789167109863,-0.3684019506925029,-15.767499,2.5341449
AlexNet,University of Toronto,Canada,Anglosphere,Era GPU (2012-2016),Vision,-3.9746337954668456,1.3581849260264256,-21.253403,10.146556
Unsupervised High-level Feature Learner,Google,United States of America,Anglosphere,Era GPU (2012-2016),Vision,-2.692286782560194,2.816562994809389,-19.738367,12.958072
LBL,University College London (UCL),United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era GPU (2012-2016),Language,-3.8608277970576768,-0.7593862960129237,-16.503532,2.4610777
Dropout (MNIST),University of Toronto,Canada,Anglosphere,Era GPU (2012-2016),Vision,-4.385145621318602,0.752004080949364,-21.355034,9.384878
MCDNN (MNIST),"IDSIA,SUPSI",Switzerland,Europa,Era GPU (2012-2016),Vision,-4.384997325336653,0.6561071649890882,-21.40594,9.274962
KN5 LM + RNN 400/10 (WSJ),"Brno University of Technology,Johns Hopkins University",Czechia,Otro,Era Deep Learning (2000-2011),Speech,-4.570752580842745,0.4418955035005727,-9.223826,3.5633147
RNN 500/10 + RT09 LM (NIST RT05),"Brno University of Technology,Johns Hopkins University",Czechia,Otro,Era Deep Learning (2000-2011),Speech,-4.604938242035362,0.4359785371211651,-9.234466,3.5646436
RNN LM,Johns Hopkins University,United States of America,Anglosphere,Era Deep Learning (2000-2011),Language,-3.3791751006357518,-0.23934824067620106,-15.634329,2.6570773
RNN 1000/5 + RT09 LM (NIST RT05),"Brno University of Technology,Johns Hopkins University",Czechia,Otro,Era Deep Learning (2000-2011),Speech,-4.370477791465726,0.4770141919629139,-9.164595,3.5563953
Feedforward NN,University of Montreal / Université de Montréal,Canada,Anglosphere,Era Deep Learning (2000-2011),Vision,-4.680880559607103,0.9207951871793032,-20.979141,9.349956
6-layer MLP (MNIST),"IDSIA,University of Lugano,SUPSI",Switzerland,Europa,Era Deep Learning (2000-2011),Vision,-4.573962246656966,0.41988452643747354,-21.22839,8.91431
GPU DBNs,Stanford University,United States of America,Anglosphere,Era Deep Learning (2000-2011),Other,-3.7784376364492496,-0.32219624602545827,-16.79831,2.8332827
BiLSTM for Speech,"IDSIA,Technical University of Munich",Switzerland,Europa,Era Deep Learning (2000-2011),Speech,-5.771514318412398,0.3180342552136608,-9.655681,3.6207469
NPLM (Brown),University of Montreal / Université de Montréal,Canada,Anglosphere,Era Deep Learning (2000-2011),Language,-4.444917741573354,-0.19171410922096574,-16.170313,3.4477506
NPLM (AP News),University of Montreal / Université de Montréal,Canada,Anglosphere,Era Deep Learning (2000-2011),Language,-4.173805700990794,-0.14485002622463103,-16.022638,3.2529511
Decision tree (classification),"Mitsubishi Electric Research Labs,Compaq CRL",United States of America,Anglosphere,Era Deep Learning (2000-2011),Vision,-5.154351930356202,3.083133069859907,-17.957241,9.059119
Neural LM,University of Montreal / Université de Montréal,Canada,Anglosphere,Era Deep Learning (2000-2011),Language,-4.311088721074835,-0.08929066976545161,-16.067429,3.424316
LeNet-5,AT&T,United States of America,Anglosphere,Era Conexionista (1980-1999),Vision,-5.375717680979934,3.3014991122592683,-17.91507,8.990496
RNN for speech,National Chiao Tung University,Taiwan,Otro,Era Conexionista (1980-1999),Speech,-6.638006022430476,-0.22797412718778173,-10.083058,3.6750083
LSTM,Technical University of Munich,Germany,Europa,Era Conexionista (1980-1999),Language,-5.602307841208114,0.2595442419546352,-16.35864,4.363268
System 11,Carnegie Mellon University (CMU),United States of America,Anglosphere,Era Conexionista (1980-1999),Vision,-6.731981149099854,0.719082313909494,-18.909094,7.933891
Fuzzy NN,Indian Statistical Institute,India,Asia-Pacífico,Era Conexionista (1980-1999),Speech,-7.546840513699762,0.09673286027831754,-10.263103,3.7178862
TD-Gammon,IBM,United States of America,Anglosphere,Era Conexionista (1980-1999),Games,-5.033120795356699,1.9240931681357474,-16.621803,7.9789205
Zip CNN,"AT&T,Bell Laboratories",United States of America,Anglosphere,Era Conexionista (1980-1999),Vision,-6.03003888596187,3.1184985657213864,-17.744858,8.652148
Innervator,"Stanford University,California Institute of Technology",United States of America,Anglosphere,Era Conexionista (1980-1999),Mathematics,-7.568258725846678,-0.43208991819489606,-17.018002,6.293665
ALVINN,Carnegie Mellon University (CMU),United States of America,Anglosphere,Era Conexionista (1980-1999),Driving,-6.45291896289856,-0.09592229406441286,-16.830324,5.9816604
NetTalk (transcription),Princeton University,United States of America,Anglosphere,Era Conexionista (1980-1999),Speech,-7.364751538721037,0.4051059367610874,-10.211296,3.7126772
NetTalk (dictionary),Princeton University,United States of America,Anglosphere,Era Conexionista (1980-1999),Speech,-7.366228498113749,0.40485686108383145,-10.211656,3.7127378
MLP with back-propagation,"University of California San Diego,Carnegie Mellon University (CMU)",United States of America,Anglosphere,Era Conexionista (1980-1999),Mathematics,-7.3109949116737685,0.325774347501268,-16.93522,6.194101
ASE+ACE,University of Massachusetts Amherst,United States of America,Anglosphere,Era Conexionista (1980-1999),Robotics,-7.52438736811654,-0.00484375040498383,-17.004587,6.3036823
Neocognitron,NHK Broadcasting Science Research Laboratories,Japan,Asia-Pacífico,Era Conexionista (1980-1999),Vision,-6.5152875109537804,3.1430972112970808,-17.62239,8.374044
Cognitron,Biological Cybernetics,Japan,Asia-Pacífico,Era Simbólica (1950-1979),Other,-6.885407559389768,1.95858255336282,-16.883448,7.3082485
ADALINE,Stanford University,United States of America,Anglosphere,Era Simbólica (1950-1979),Vision,-10.255663985918902,1.0800378616948003,-17.889862,6.7897215
Perceptron (1960),Cornell Aeronautical Laboratory,United States of America,Anglosphere,Era Simbólica (1950-1979),Vision,-8.989612968253697,0.7617990361793892,-17.845915,6.836854
Samuel Neural Checkers,IBM,United States of America,Anglosphere,Era Simbólica (1950-1979),Games,-8.316188653845328,2.4910361418285154,-17.072767,7.1816583
Perceptron Mark I,"Cornell Aeronautical Laboratory,Cornell University",United States of America,Anglosphere,Era Simbólica (1950-1979),Other,-9.153229239796467,0.21935015470665742,-17.405672,6.655764
