Model,Organization,Country (of organization),bloque_geopolitico,era_tecnologica,Domain,pca_1,pca_2,tsne_1,tsne_2
Pythia-12b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.5010081778895616,-0.15627238682815656,3.3655863,-8.925362
Pythia-2.8b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.2549400321829989,-0.1993394547798063,2.987752,-8.637869
Pythia-6.9b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.4074659622185248,-0.17264440345277518,3.2265916,-8.810993
Pythia-160m,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States of America,Anglosphere,Era LLM (2023-2026),Language,0.770978005021073,-0.28404289161847496,2.2004087,-8.177789
Pythia-1b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.0808333885118449,-0.22981167429167348,2.6790848,-8.448802
Pythia-1.4b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.1377368480316659,-0.2198524488545024,2.7803273,-8.51036
Pythia-70m,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States of America,Anglosphere,Era LLM (2023-2026),Language,0.6312178323416521,-0.30850396566014937,2.0459764,-8.111343
Pythia-410m,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States of America,Anglosphere,Era LLM (2023-2026),Language,0.9300837290575853,-0.2561960582795967,2.4265108,-8.297851
BloombergGPT,"Bloomberg,Johns Hopkins University",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.816083141744446,0.7696115506834835,9.04256,27.678232
VideoMAE V2,"Nanjing University,Shenzhen Institute of Advanced Technology,Shanghai AI Lab",China,China,Era LLM (2023-2026),Video,0.5978722828969882,-1.2052444248882872,-1.1965499,-15.321578
